Time: 5/6/2024, 5:22:50 PM, Method: POST, URL: /user/signup, Status: 400
Time: 5/6/2024, 5:23:01 PM, Method: POST, URL: /user/signup, Status: 201
Time: 5/6/2024, 5:26:15 PM, Method: POST, URL: /note/create, Status: 404
Time: 5/6/2024, 5:28:12 PM, Method: POST, URL: /note/create, Status: 500
Time: 5/6/2024, 5:28:24 PM, Method: POST, URL: /note/create, Status: 500
Time: 5/6/2024, 5:28:39 PM, Method: POST, URL: /note/create, Status: 500
Time: 5/6/2024, 5:28:54 PM, Method: POST, URL: /note/create, Status: 400
Time: 5/6/2024, 5:30:39 PM, Method: POST, URL: /note/create, Status: 400
Time: 5/6/2024, 5:33:02 PM, Method: POST, URL: /note/create, Status: 400
Time: 5/6/2024, 5:34:50 PM, Method: POST, URL: /note/create, Status: 400
Time: 5/6/2024, 5:38:30 PM, Method: POST, URL: /note/create, Status: 500
Time: 5/6/2024, 5:38:41 PM, Method: POST, URL: /note/create, Status: 500
Time: 5/6/2024, 5:38:46 PM, Method: POST, URL: /note/create, Status: 500
Time: 5/6/2024, 5:39:06 PM, Method: POST, URL: /note/create, Status: 400
